,limit_bal,marriage,age,l_education,sex,education_graduate school,education_high school,education_other,education_university,default_status,limit_cat,months_behind
1,20000,1,24,3,1,0,0,0,1,1,0,0
2,120000,2,26,3,1,0,0,0,1,1,1,2
3,90000,2,34,3,1,0,0,0,1,0,1,0
4,50000,1,37,3,1,0,0,0,1,0,0,0
5,50000,1,57,3,0,0,0,0,1,0,0,0
6,50000,2,37,0,0,1,0,0,0,0,0,0
7,500000,2,29,0,0,1,0,0,0,0,2,0
8,100000,2,23,3,1,0,0,0,1,0,1,0
9,140000,1,28,1,1,0,1,0,0,0,1,0
10,20000,2,35,1,0,0,1,0,0,0,0,0
11,200000,2,34,1,1,0,1,0,0,0,1,0
12,260000,2,51,0,1,1,0,0,0,0,2,2
13,630000,2,41,3,1,0,0,0,1,0,2,0
14,70000,2,30,3,0,0,0,0,1,1,0,2
15,250000,2,29,0,0,1,0,0,0,0,2,0
16,50000,3,23,1,1,0,1,0,0,0,0,0
17,20000,2,24,0,0,1,0,0,0,1,0,2
18,320000,1,49,0,0,1,0,0,0,0,2,0
19,360000,1,49,0,1,1,0,0,0,0,2,0
20,180000,2,29,0,1,1,0,0,0,0,1,0
21,130000,2,39,1,1,0,1,0,0,0,1,0
22,120000,1,39,3,1,0,0,0,1,1,1,0
23,70000,2,26,3,1,0,0,0,1,1,0,2
24,450000,1,40,0,1,1,0,0,0,1,2,0
25,90000,2,23,0,0,1,0,0,0,0,1,0
26,50000,2,23,1,0,0,1,0,0,0,0,0
27,60000,2,27,0,0,1,0,0,0,1,0,0
28,50000,2,30,1,1,0,1,0,0,0,0,0
29,50000,1,47,1,1,0,1,0,0,0,0,0
30,50000,2,26,0,0,1,0,0,0,0,0,0
31,230000,2,27,0,1,1,0,0,0,0,2,0
32,50000,2,33,3,0,0,0,0,1,1,0,0
33,100000,2,32,0,0,1,0,0,0,0,1,0
34,500000,1,54,3,1,0,0,0,1,0,2,0
35,500000,1,58,0,0,1,0,0,0,0,2,0
36,160000,2,30,0,0,1,0,0,0,0,1,0
37,280000,1,40,3,0,0,0,0,1,0,2,0
38,60000,2,22,3,1,0,0,0,1,0,0,0
39,50000,2,25,0,0,1,0,0,0,1,0,0
40,280000,2,31,0,0,1,0,0,0,0,2,0
41,360000,2,33,0,0,1,0,0,0,0,2,0
42,70000,2,25,0,1,1,0,0,0,0,0,0
43,10000,2,22,3,0,0,0,0,1,0,0,0
44,140000,1,37,3,1,0,0,0,1,0,1,0
45,40000,2,30,0,1,1,0,0,0,0,0,0
46,210000,2,29,0,0,1,0,0,0,1,2,0
47,20000,2,22,0,1,1,0,0,0,1,0,0
48,150000,2,46,2,1,0,0,1,0,1,1,0
49,380000,2,32,3,0,0,0,0,1,0,2,0
50,20000,2,24,0,0,1,0,0,0,0,0,0
51,70000,2,42,1,0,0,1,0,0,1,0,0
52,100000,3,43,1,1,0,1,0,0,0,1,0
53,310000,1,49,3,1,0,0,0,1,0,2,0
54,180000,2,25,0,1,1,0,0,0,0,1,0
55,150000,2,29,0,1,1,0,0,0,0,1,0
56,500000,1,45,0,1,1,0,0,0,0,2,0
57,180000,1,34,1,1,0,1,0,0,0,1,0
58,180000,1,34,3,1,0,0,0,1,0,1,0
59,200000,2,34,0,1,1,0,0,0,0,1,2
60,400000,1,29,3,1,0,0,0,1,0,2,0
61,500000,1,28,1,1,0,1,0,0,1,2,0
62,70000,1,39,3,0,0,0,0,1,0,0,0
63,50000,2,29,0,0,1,0,0,0,1,0,2
64,50000,1,46,3,1,0,0,0,1,1,0,0
65,130000,1,51,3,1,0,0,0,1,0,1,0
66,200000,1,57,0,0,1,0,0,0,1,1,2
67,10000,1,56,3,0,0,0,0,1,1,0,0
68,210000,2,30,0,1,1,0,0,0,0,2,0
69,130000,2,29,1,1,0,1,0,0,0,1,0
70,20000,2,22,2,0,0,0,1,0,0,0,0
71,80000,2,31,0,0,1,0,0,0,0,0,0
72,320000,2,29,3,0,0,0,0,1,1,2,2
73,200000,1,32,3,1,0,0,0,1,0,1,0
74,290000,2,37,0,1,1,0,0,0,0,2,0
75,340000,2,32,0,0,1,0,0,0,0,2,0
76,20000,2,24,3,0,0,0,0,1,0,0,0
77,50000,2,25,1,0,0,1,0,0,0,0,0
78,300000,1,45,0,1,1,0,0,0,0,2,0
79,30000,2,22,3,1,0,0,0,1,1,0,0
80,240000,2,44,3,1,0,0,0,1,1,2,0
81,470000,3,33,1,1,0,1,0,0,0,2,0
82,360000,2,26,0,1,1,0,0,0,0,2,0
83,60000,2,30,1,0,0,1,0,0,1,0,0
84,400000,1,44,3,1,0,0,0,1,0,2,0
85,50000,2,49,1,1,0,1,0,0,0,0,0
86,160000,2,33,3,0,0,0,0,1,0,1,0
87,360000,1,45,0,1,1,0,0,0,1,2,0
88,160000,2,32,3,1,0,0,0,1,0,1,0
89,130000,1,35,0,1,1,0,0,0,0,1,0
90,20000,2,44,1,0,0,1,0,0,0,0,2
91,200000,1,53,0,0,1,0,0,0,1,1,2
92,280000,2,39,0,1,1,0,0,0,0,2,0
93,100000,2,27,0,1,1,0,0,0,0,1,0
94,160000,1,37,3,1,0,0,0,1,0,1,0
95,60000,2,23,3,1,0,0,0,1,0,0,0
96,90000,2,35,3,0,0,0,0,1,0,1,0
97,360000,1,43,0,0,1,0,0,0,0,2,0
98,150000,2,27,0,0,1,0,0,0,0,1,0
99,50000,1,22,1,1,0,1,0,0,0,0,0
100,20000,1,38,3,0,0,0,0,1,1,0,0
101,140000,2,32,0,0,1,0,0,0,0,1,0
102,380000,2,30,0,1,1,0,0,0,0,2,0
103,480000,1,63,0,0,1,0,0,0,0,2,0
104,50000,2,22,1,1,0,1,0,0,1,0,0
105,60000,2,26,3,1,0,0,0,1,0,0,0
106,70000,2,24,3,1,0,0,0,1,0,0,0
107,80000,1,36,3,1,0,0,0,1,0,0,0
108,350000,2,52,0,0,1,0,0,0,0,2,0
109,130000,2,38,3,0,0,0,0,1,0,1,0
110,360000,1,35,3,0,0,0,0,1,0,2,0
111,330000,1,31,0,1,1,0,0,0,0,2,0
112,50000,1,47,1,0,0,1,0,0,0,0,0
113,280000,1,41,3,0,0,0,0,1,0,2,3
114,100000,2,24,0,1,1,0,0,0,0,1,0
115,50000,2,41,3,0,0,0,0,1,0,0,0
116,30000,2,24,0,0,1,0,0,0,1,0,2
117,240000,2,28,0,0,1,0,0,0,0,2,0
118,80000,2,26,3,0,0,0,0,1,1,0,0
119,400000,1,34,3,0,0,0,0,1,0,2,0
120,240000,2,38,3,1,0,0,0,1,0,2,0
121,50000,2,37,1,0,0,1,0,0,1,0,2
122,450000,1,40,0,0,1,0,0,0,1,2,0
123,110000,1,48,0,1,1,0,0,0,0,1,0
124,310000,1,35,3,1,0,0,0,1,1,2,0
125,20000,2,27,0,0,1,0,0,0,0,0,0
126,20000,2,23,3,0,0,0,0,1,0,0,0
127,200000,2,52,1,0,0,1,0,0,0,1,0
128,180000,1,36,0,0,1,0,0,0,1,1,0
129,50000,1,51,3,0,0,0,0,1,1,0,0
130,60000,1,55,1,0,0,1,0,0,0,0,0
131,30000,2,23,0,1,1,0,0,0,0,0,0
132,240000,2,41,0,0,1,0,0,0,0,2,0
133,420000,1,34,3,0,0,0,0,1,0,2,0
134,330000,1,46,1,0,0,1,0,0,0,2,0
135,30000,2,22,3,1,0,0,0,1,0,0,0
136,240000,1,34,3,0,0,0,0,1,0,2,2
137,150000,2,27,0,0,1,0,0,0,0,1,0
138,210000,1,33,3,1,0,0,0,1,0,2,0
139,50000,1,51,1,1,0,1,0,0,1,0,0
140,50000,2,24,0,0,1,0,0,0,0,0,0
141,240000,2,47,0,0,1,0,0,0,1,2,0
142,180000,2,28,3,0,0,0,0,1,0,1,0
143,50000,2,23,3,0,0,0,0,1,0,0,0
144,170000,2,29,3,0,0,0,0,1,0,1,0
145,20000,2,29,0,0,1,0,0,0,0,0,0
146,50000,2,28,0,0,1,0,0,0,0,0,3
147,170000,2,27,3,1,0,0,0,1,1,1,0
148,200000,2,34,0,0,1,0,0,0,0,1,0
149,80000,1,23,3,1,0,0,0,1,0,0,0
150,260000,1,60,0,1,1,0,0,0,0,2,0
151,140000,1,32,3,0,0,0,0,1,0,1,0
152,80000,2,25,0,0,1,0,0,0,0,0,0
153,350000,2,41,0,0,1,0,0,0,0,2,0
154,280000,1,56,3,1,0,0,0,1,0,2,0
155,30000,2,26,1,1,0,1,0,0,0,0,0
156,140000,1,34,0,0,1,0,0,0,0,1,0
157,200000,2,37,0,1,1,0,0,0,0,1,0
158,200000,2,30,1,1,0,1,0,0,0,1,0
159,210000,1,45,1,0,0,1,0,0,1,2,6
160,50000,1,57,1,0,0,1,0,0,0,0,0
161,30000,2,41,0,0,1,0,0,0,0,0,0
162,50000,2,27,3,0,0,0,0,1,0,0,2
163,290000,1,47,1,0,0,1,0,0,0,2,0
164,250000,1,34,0,1,1,0,0,0,0,2,0
165,60000,1,46,3,1,0,0,0,1,0,0,0
166,110000,2,27,0,1,1,0,0,0,0,1,0
167,370000,2,50,0,0,1,0,0,0,0,2,0
168,100000,1,27,3,0,0,0,0,1,0,1,0
169,90000,1,35,3,1,0,0,0,1,0,1,2
170,50000,2,22,3,1,0,0,0,1,0,0,0
171,270000,2,37,3,0,0,0,0,1,0,2,0
172,300000,2,30,0,1,1,0,0,0,0,2,0
173,50000,2,22,3,1,0,0,0,1,0,0,0
174,50000,2,24,0,1,1,0,0,0,1,0,0
175,360000,2,29,0,0,1,0,0,0,0,2,0
176,130000,1,56,1,0,0,1,0,0,1,1,3
177,80000,2,30,0,0,1,0,0,0,0,0,0
178,50000,2,30,3,0,0,0,0,1,0,0,2
179,20000,2,22,3,1,0,0,0,1,0,0,0
180,80000,1,29,3,1,0,0,0,1,0,0,0
181,240000,2,37,0,0,1,0,0,0,0,2,0
182,80000,2,35,1,1,0,1,0,0,0,0,0
183,500000,1,47,0,1,1,0,0,0,0,2,0
184,60000,1,24,3,1,0,0,0,1,1,0,0
185,20000,2,25,3,0,0,0,0,1,0,0,0
186,100000,1,38,3,1,0,0,0,1,1,1,0
187,360000,2,32,0,1,1,0,0,0,0,2,0
188,200000,2,47,1,1,0,1,0,0,1,1,2
189,130000,1,34,3,1,0,0,0,1,0,1,0
190,20000,2,31,3,1,0,0,0,1,0,0,2
191,310000,2,32,0,0,1,0,0,0,0,2,0
192,60000,2,27,0,1,1,0,0,0,1,0,0
193,180000,2,29,0,1,1,0,0,0,0,1,0
194,180000,2,24,0,1,1,0,0,0,0,1,0
195,50000,1,36,3,0,0,0,0,1,0,0,0
196,50000,2,24,0,1,1,0,0,0,1,0,2
